latency,bandwidth,fence_freq,simSeconds,simTicks,simInsts,slowdown
160ns,100GiB/s,1,0.000616,615714003.0,1233588.0,1.1914893617021276
160ns,100GiB/s,4,0.000563,563030739.0,1158588.0,1.210752688172043
160ns,100GiB/s,16,0.000538,537897564.0,1139932.0,1.2227272727272727
160ns,100GiB/s,64,0.000488,487742769.0,1135245.0,1.2512820512820513
160ns,100GiB/s,256,0.000457,456714495.0,1134165.0,1.276536312849162
160ns,12.5GiB/s,1,0.000618,617956758.0,1233588.0,1.195357833655706
160ns,12.5GiB/s,4,0.000565,565275492.0,1158588.0,1.21505376344086
160ns,12.5GiB/s,16,0.000541,540525933.0,1139932.0,1.2295454545454545
160ns,12.5GiB/s,64,0.00049,490371138.0,1135245.0,1.2564102564102564
160ns,12.5GiB/s,256,0.000459,459346527.0,1134165.0,1.282122905027933
160ns,25GiB/s,1,0.000617,616764618.0,1233588.0,1.193423597678917
160ns,25GiB/s,4,0.000564,564081354.0,1158588.0,1.2129032258064516
160ns,25GiB/s,16,0.000539,538948512.0,1139932.0,1.2249999999999999
160ns,25GiB/s,64,0.000489,488793717.0,1135245.0,1.2538461538461538
160ns,25GiB/s,256,0.000458,457765443.0,1134165.0,1.2793296089385475
160ns,50GiB/s,1,0.000616,615993390.0,1233588.0,1.1914893617021276
160ns,50GiB/s,4,0.000563,563310126.0,1158588.0,1.210752688172043
160ns,50GiB/s,16,0.000538,538177950.0,1139932.0,1.2227272727272727
160ns,50GiB/s,64,0.000488,488023155.0,1135245.0,1.2512820512820513
160ns,50GiB/s,256,0.000457,456994881.0,1134165.0,1.276536312849162
300ns,100GiB/s,1,0.000755,754740837.0,1233588.0,1.460348162475822
300ns,100GiB/s,4,0.000721,721362915.0,1158588.0,1.550537634408602
300ns,100GiB/s,16,0.000713,712729890.0,1139932.0,1.6204545454545454
300ns,100GiB/s,64,0.000698,697676625.0,1135245.0,1.7897435897435898
300ns,100GiB/s,256,0.000695,695328642.0,1134165.0,1.9413407821229052
300ns,12.5GiB/s,1,0.000757,757486755.0,1233588.0,1.4642166344294003
300ns,12.5GiB/s,4,0.000724,723940002.0,1158588.0,1.5569892473118279
300ns,12.5GiB/s,16,0.000716,716257692.0,1139932.0,1.6272727272727272
300ns,12.5GiB/s,64,0.000703,702855108.0,1135245.0,1.8025641025641024
300ns,12.5GiB/s,256,0.000701,701151813.0,1134165.0,1.9581005586592182
300ns,25GiB/s,1,0.000756,755933310.0,1233588.0,1.4622823984526114
300ns,25GiB/s,4,0.000723,722583027.0,1158588.0,1.5548387096774192
300ns,25GiB/s,16,0.000714,714327624.0,1139932.0,1.6227272727272728
300ns,25GiB/s,64,0.0007,700025607.0,1135245.0,1.794871794871795
300ns,25GiB/s,256,0.000698,697942692.0,1134165.0,1.9497206703910617
300ns,50GiB/s,1,0.000755,755159418.0,1233588.0,1.460348162475822
300ns,50GiB/s,4,0.000722,721781496.0,1158588.0,1.5526881720430106
300ns,50GiB/s,16,0.000713,713468817.0,1139932.0,1.6204545454545454
300ns,50GiB/s,64,0.000699,698558742.0,1135245.0,1.7923076923076922
300ns,50GiB/s,256,0.000696,696239397.0,1134165.0,1.9441340782122907
400ns,100GiB/s,1,0.000955,954662715.0,1233588.0,1.8471953578336557
400ns,100GiB/s,4,0.000939,939493566.0,1158588.0,2.019354838709677
400ns,100GiB/s,16,0.000928,927906165.0,1139932.0,2.109090909090909
400ns,100GiB/s,64,0.00092,920406672.0,1135245.0,2.358974358974359
