latency,bandwidth,fence_freq,simSeconds,simTicks,simInsts
160ns,100GiB/s,1,0.009556,9556017750.0,22133824.0
160ns,100GiB/s,4,0.009057,9056518083.0,20633824.0
160ns,100GiB/s,16,0.008932,8931858867.0,20258918.0
160ns,100GiB/s,64,0.008901,8900640117.0,20165168.0
160ns,100GiB/s,256,0.008893,8892881883.0,20141823.0
160ns,12.5GiB/s,1,0.009579,9578591820.0,22133824.0
160ns,12.5GiB/s,4,0.009079,9079094817.0,20633824.0
160ns,12.5GiB/s,16,0.008954,8954432937.0,20258918.0
160ns,12.5GiB/s,64,0.008923,8923214187.0,20165168.0
160ns,12.5GiB/s,256,0.008915,8915455953.0,20141823.0
160ns,25GiB/s,1,0.009569,9569139948.0,22133824.0
160ns,25GiB/s,4,0.00907,9069640614.0,20633824.0
160ns,25GiB/s,16,0.008945,8944981065.0,20258918.0
160ns,25GiB/s,64,0.008914,8913762315.0,20165168.0
160ns,25GiB/s,256,0.008906,8906004081.0,20141823.0
160ns,50GiB/s,1,0.009559,9558637128.0,22133824.0
160ns,50GiB/s,4,0.009059,9059137461.0,20633824.0
160ns,50GiB/s,16,0.008934,8934478245.0,20258918.0
160ns,50GiB/s,64,0.008903,8903259495.0,20165168.0
160ns,50GiB/s,256,0.008896,8895501261.0,20141823.0
300ns,100GiB/s,1,0.011029,11028543084.0,22133824.0
300ns,100GiB/s,4,0.010966,10966077612.0,20633824.0
300ns,100GiB/s,16,0.010951,10950817221.0,20258918.0
300ns,100GiB/s,64,0.010947,10946913129.0,20165168.0
300ns,100GiB/s,256,0.010922,10922280453.0,20141823.0
300ns,12.5GiB/s,1,0.011052,11052397872.0,22133824.0
300ns,12.5GiB/s,4,0.01101,11010408237.0,20633824.0
300ns,12.5GiB/s,16,0.010995,10995148512.0,20258918.0
300ns,12.5GiB/s,64,0.010991,10991244420.0,20165168.0
300ns,12.5GiB/s,256,0.010991,10990926072.0,20141823.0
300ns,25GiB/s,1,0.011042,11041665282.0,22133824.0
300ns,25GiB/s,4,0.010979,10979199810.0,20633824.0
300ns,25GiB/s,16,0.010964,10963939419.0,20258918.0
300ns,25GiB/s,64,0.01096,10960035327.0,20165168.0
300ns,25GiB/s,256,0.010935,10935402651.0,20141823.0
300ns,50GiB/s,1,0.011031,11031162462.0,22133824.0
300ns,50GiB/s,4,0.010969,10968696990.0,20633824.0
300ns,50GiB/s,16,0.010953,10953436599.0,20258918.0
300ns,50GiB/s,64,0.01095,10949532507.0,20165168.0
300ns,50GiB/s,256,0.010925,10924899831.0,20141823.0
400ns,100GiB/s,1,0.01426,14259554505.0,22133824.0
400ns,100GiB/s,4,0.014197,14197089033.0,20633824.0
400ns,100GiB/s,16,0.014182,14181928875.0,20258918.0
400ns,100GiB/s,64,0.014178,14178024783.0,20165168.0
400ns,100GiB/s,256,0.014153,14153392107.0,20141823.0
400ns,12.5GiB/s,1,0.014283,14283409293.0,22133824.0
400ns,12.5GiB/s,4,0.014241,14241419658.0,20633824.0
400ns,12.5GiB/s,16,0.014226,14226260166.0,20258918.0
400ns,12.5GiB/s,64,0.014222,14222356074.0,20165168.0
400ns,12.5GiB/s,256,0.014222,14222037726.0,20141823.0
400ns,25GiB/s,1,0.014273,14272676703.0,22133824.0
400ns,25GiB/s,4,0.01421,14210211231.0,20633824.0
400ns,25GiB/s,16,0.014195,14195051073.0,20258918.0
400ns,25GiB/s,64,0.014191,14191146981.0,20165168.0
400ns,25GiB/s,256,0.014167,14166514305.0,20141823.0
400ns,50GiB/s,1,0.014262,14262173883.0,22133824.0
400ns,50GiB/s,4,0.0142,14199708411.0,20633824.0
400ns,50GiB/s,16,0.014185,14184548253.0,20258918.0
400ns,50GiB/s,64,0.014181,14180644161.0,20165168.0
400ns,50GiB/s,256,0.014156,14156011485.0,20141823.0
40ns,100GiB/s,1,0.00897,8969594760.0,22133824.0
40ns,100GiB/s,4,0.00847,8470094760.0,20633824.0
40ns,100GiB/s,16,0.008345,8345315997.0,20258918.0
40ns,100GiB/s,64,0.008314,8314097247.0,20165168.0
40ns,100GiB/s,256,0.008306,8306339013.0,20141823.0
40ns,12.5GiB/s,1,0.008992,8992168830.0,22133824.0
40ns,12.5GiB/s,4,0.008493,8492668830.0,20633824.0
40ns,12.5GiB/s,16,0.008368,8367890067.0,20258918.0
40ns,12.5GiB/s,64,0.008337,8336671317.0,20165168.0
40ns,12.5GiB/s,256,0.008329,8328913083.0,20141823.0
40ns,25GiB/s,1,0.008983,8982716958.0,22133824.0
40ns,25GiB/s,4,0.008483,8483216958.0,20633824.0
40ns,25GiB/s,16,0.008358,8358438195.0,20258918.0
40ns,25GiB/s,64,0.008327,8327219445.0,20165168.0
40ns,25GiB/s,256,0.008319,8319461211.0,20141823.0
40ns,50GiB/s,1,0.008972,8972214138.0,22133824.0
40ns,50GiB/s,4,0.008473,8472714138.0,20633824.0
40ns,50GiB/s,16,0.008348,8347935375.0,20258918.0
40ns,50GiB/s,64,0.008317,8316716625.0,20165168.0
40ns,50GiB/s,256,0.008309,8308958391.0,20141823.0
80ns,100GiB/s,1,0.009165,9164999160.0,22133824.0
80ns,100GiB/s,4,0.008665,8665499160.0,20633824.0
80ns,100GiB/s,16,0.008541,8540760357.0,20258918.0
80ns,100GiB/s,64,0.00851,8509541607.0,20165168.0
80ns,100GiB/s,256,0.008502,8501783373.0,20141823.0
80ns,12.5GiB/s,1,0.009188,9187573230.0,22133824.0
80ns,12.5GiB/s,4,0.008688,8688073230.0,20633824.0
80ns,12.5GiB/s,16,0.008563,8563334427.0,20258918.0
80ns,12.5GiB/s,64,0.008532,8532115677.0,20165168.0
80ns,12.5GiB/s,256,0.008524,8524357443.0,20141823.0
80ns,25GiB/s,1,0.009178,9178121358.0,22133824.0
80ns,25GiB/s,4,0.008679,8678621358.0,20633824.0
80ns,25GiB/s,16,0.008554,8553882555.0,20258918.0
80ns,25GiB/s,64,0.008523,8522663805.0,20165168.0
80ns,25GiB/s,256,0.008515,8514905571.0,20141823.0
80ns,50GiB/s,1,0.009168,9167618538.0,22133824.0
80ns,50GiB/s,4,0.008668,8668118538.0,20633824.0
80ns,50GiB/s,16,0.008543,8543379735.0,20258918.0
80ns,50GiB/s,64,0.008512,8512160985.0,20165168.0
80ns,50GiB/s,256,0.008504,8504402751.0,20141823.0
