latency,bandwidth,fence_freq,simSeconds,simTicks,simInsts,slowdown
160ns,100GiB/s,1,0.009556,9556017750.0,22133824.0,1.0653288740245261
160ns,100GiB/s,4,0.009057,9056518083.0,20633824.0,1.0693034238488786
160ns,100GiB/s,16,0.008932,8931858867.0,20258918.0,1.070341521869383
160ns,100GiB/s,64,0.008901,8900640117.0,20165168.0,1.0706038008178973
160ns,100GiB/s,256,0.008893,8892881883.0,20141823.0,1.070671803515531
160ns,12.5GiB/s,1,0.009579,9578591820.0,22133824.0,1.0678929765886287
160ns,12.5GiB/s,4,0.009079,9079094817.0,20633824.0,1.071900826446281
160ns,12.5GiB/s,16,0.008954,8954432937.0,20258918.0,1.0729778310365488
160ns,12.5GiB/s,64,0.008923,8923214187.0,20165168.0,1.0732499398604762
160ns,12.5GiB/s,256,0.008915,8915455953.0,20141823.0,1.0733204912111727
160ns,25GiB/s,1,0.009569,9569139948.0,22133824.0,1.066778149386845
160ns,25GiB/s,4,0.00907,9069640614.0,20633824.0,1.0708382526564344
160ns,25GiB/s,16,0.008945,8944981065.0,20258918.0,1.0718993409227082
160ns,25GiB/s,64,0.008914,8913762315.0,20165168.0,1.0721674284339668
160ns,25GiB/s,256,0.008906,8906004081.0,20141823.0,1.072236937153865
160ns,50GiB/s,1,0.009559,9558637128.0,22133824.0,1.0656633221850613
160ns,50GiB/s,4,0.009059,9059137461.0,20633824.0,1.069539551357733
160ns,50GiB/s,16,0.008934,8934478245.0,20258918.0,1.070581186339125
160ns,50GiB/s,64,0.008903,8903259495.0,20165168.0,1.0708443589126773
160ns,50GiB/s,256,0.008896,8895501261.0,20141823.0,1.0710329882013003
300ns,100GiB/s,1,0.011029,11028543084.0,22133824.0,1.2295429208472686
300ns,100GiB/s,4,0.010966,10966077612.0,20633824.0,1.2946871310507675
300ns,100GiB/s,16,0.010951,10950817221.0,20258918.0,1.312282804074296
300ns,100GiB/s,64,0.010947,10946913129.0,20165168.0,1.3166947317777242
300ns,100GiB/s,256,0.010922,10922280453.0,20141823.0,1.31495304599085
300ns,12.5GiB/s,1,0.011052,11052397872.0,22133824.0,1.2321070234113711
300ns,12.5GiB/s,4,0.01101,11010408237.0,20633824.0,1.2998819362455727
300ns,12.5GiB/s,16,0.010995,10995148512.0,20258918.0,1.3175554224086279
300ns,12.5GiB/s,64,0.010991,10991244420.0,20165168.0,1.3219870098628819
300ns,12.5GiB/s,256,0.010991,10990926072.0,20141823.0,1.3232602937635447
300ns,25GiB/s,1,0.011042,11041665282.0,22133824.0,1.2309921962095873
300ns,25GiB/s,4,0.010979,10979199810.0,20633824.0,1.2962219598583233
300ns,25GiB/s,16,0.010964,10963939419.0,20258918.0,1.3138406231276214
300ns,25GiB/s,64,0.01096,10960035327.0,20165168.0,1.3182583593937935
