isa,sq_size,lq_size,write_ratio,total_mops_per_s
ARM,8,8,50,6.831
ARM,16,16,50,7.767
ARM,32,32,50,9.429
ARM,64,64,50,9.429
ARM,128,128,50,9.429
X86,8,8,50,6.381
X86,16,16,50,6.381
X86,32,32,50,6.381
X86,64,64,50,6.381
X86,128,128,50,6.381
ARM,8,8,0,11.336
ARM,16,16,0,20.836
ARM,32,32,0,32.714
ARM,64,64,0,32.714
ARM,128,128,0,32.714
X86,8,8,0,7.524
X86,16,16,0,7.524
X86,32,32,0,7.524
X86,64,64,0,7.524
X86,128,128,0,7.524
ARM,8,8,100,3.896
ARM,16,16,100,3.896
ARM,32,32,100,3.896
ARM,64,64,100,3.896
ARM,128,128,100,3.896
X86,8,8,100,3.806
X86,16,16,100,3.806
X86,32,32,100,3.806
X86,64,64,100,3.806
X86,128,128,100,3.806
ARM,8,8,25,9.227
ARM,16,16,25,13.343
ARM,32,32,25,16.895
ARM,64,64,25,16.895
ARM,128,128,25,16.895
X86,8,8,25,7.374
X86,16,16,25,7.374
X86,32,32,25,7.374
X86,64,64,25,7.374
X86,128,128,25,7.374
ARM,8,8,75,5.077
ARM,16,16,75,5.161
ARM,32,32,75,5.427
ARM,64,64,75,5.427
ARM,128,128,75,5.427
X86,8,8,75,4.983
X86,16,16,75,4.983
X86,32,32,75,4.983
X86,64,64,75,4.983
X86,128,128,75,4.983
