isa,sq_size,lq_size,write_ratio,total_mops_per_s
ARM,8,8,50,7.278
ARM,16,16,50,7.484
ARM,32,32,50,7.492
ARM,64,64,50,7.492
ARM,128,128,50,7.492
X86,8,8,50,9.597
X86,16,16,50,9.869
X86,32,32,50,9.963
X86,64,64,50,9.982
X86,128,128,50,9.983
ARM,8,8,25,5.141
ARM,16,16,25,5.144
ARM,32,32,25,5.144
ARM,64,64,25,5.144
ARM,128,128,25,5.144
X86,8,8,25,8.429
X86,16,16,25,8.43
X86,32,32,25,8.43
X86,64,64,25,8.43
X86,128,128,25,8.43
ARM,8,8,75,5.48
ARM,16,16,75,5.492
ARM,32,32,75,5.494
ARM,64,64,75,5.491
ARM,128,128,75,5.434
X86,8,8,75,5.664
X86,16,16,75,5.663
X86,32,32,75,5.663
X86,64,64,75,5.659
X86,128,128,75,5.568
ARM,8,8,0,3.935
ARM,16,16,0,3.934
ARM,32,32,0,3.935
ARM,64,64,0,3.935
ARM,128,128,0,3.935
X86,8,8,0,7.524
X86,16,16,0,7.524
X86,32,32,0,7.524
X86,64,64,0,7.524
X86,128,128,0,7.524
ARM,8,8,100,3.916
ARM,16,16,100,3.916
ARM,32,32,100,3.916
ARM,64,64,100,3.916
ARM,128,128,100,3.916
X86,8,8,100,3.916
X86,16,16,100,3.916
X86,32,32,100,3.916
X86,64,64,100,3.916
X86,128,128,100,3.916
ARM,1,128,50,5.182
X86,1,128,50,7.001
ARM,1,128,25,4.759
X86,1,128,25,7.864
ARM,1,128,75,4.757
X86,1,128,75,5.183
ARM,1,128,0,3.934
X86,1,128,0,7.524
ARM,1,128,100,3.9
X86,1,128,100,3.9
